Year,Region,School,School_Key,School Level,grade_level_id,subgroup,Measure_Code,Measure_Name,Essential,Respondent_Type,Score
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,31
2024,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,38
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,36
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,39
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,79
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,39
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,3
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,38
2024,Unassigned,,NAN,,,9th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,57
2024,Unassigned,,NAN,,,10th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,6
2024,Unassigned,,NAN,,,11th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,48
2024,Unassigned,,NAN,,,12th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,79
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,40
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,45
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,31
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,30
2024,Unassigned,,NAN,,,Non-FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,39
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,40
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,30
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,35
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,25
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,18
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,49
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,33
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,21
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,26
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,37
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,19
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,30
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,24
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,31
2024,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,,2,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,44
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,54
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,32
2024,Unassigned,,NAN,,,9th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,28
2024,Unassigned,,NAN,,,10th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,52
2024,Unassigned,,NAN,,,11th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,63
2024,Unassigned,,NAN,,,12th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,53
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,47
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,51
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,44
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,51
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,43
2024,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,47
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,64
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,29
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,54
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,70
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,14
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,55
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,43
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,51
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,47
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,40
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,,8,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,47
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,71
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,26
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,48
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,45
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,41
2024,Unassigned,,NAN,,,Latino,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,99
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,95
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,19
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,47
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,99
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,42
2024,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,,2,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,78
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,85
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,71
2024,Unassigned,,NAN,,,9th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,79
2024,Unassigned,,NAN,,,10th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,82
2024,Unassigned,,NAN,,,11th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,72
2024,Unassigned,,NAN,,,12th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,79
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,79
2024,Unassigned,,NAN,,,Latino,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,69
2024,Unassigned,,NAN,,,White,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,95
2024,Unassigned,,NAN,,,Two or more,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,74
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,87
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,82
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,79
2024,Unassigned,,NAN,,,Non-FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,77
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,88
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,77
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,,9,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,9
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,8
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,11
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,7
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,31
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,10
2024,Unassigned,,NAN,,,Latino,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,22
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,8
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,9
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,4
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,10
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,18
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,22
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,15
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,25
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,6
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,28
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,30
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,30
2024,Unassigned,,NAN,,,White,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,3
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,16
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,20
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,19
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,20
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,,8,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,4
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,20
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,67
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,4
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,27
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,4
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,4
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,,2,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,49
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,47
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,51
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,0
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,41
2024,Unassigned,,NAN,,,8th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,65
2024,Unassigned,,NAN,,,9th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,26
2024,Unassigned,,NAN,,,10th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,99
2024,Unassigned,,NAN,,,11th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,62
2024,Unassigned,,NAN,,,12th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,67
2024,Unassigned,,NAN,,,Black/African Am,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,49
2024,Unassigned,,NAN,,,Non-ELL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,46
2024,Unassigned,,NAN,,,FRL,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,48
2024,Unassigned,,NAN,,,IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,90
2024,Unassigned,,NAN,,,Non-IEP,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,41
2024,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,,1,All,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,35
2024,Unassigned,,NAN,,,Boys,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,31
2024,Unassigned,,NAN,,,Girls,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,41
2024,Unassigned,,NAN,,,4th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,80
2024,Unassigned,,NAN,,,5th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,5
2024,Unassigned,,NAN,,,6th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,1
2024,Unassigned,,NAN,,,7th Graders,acno,Peer Support for Academic Work,Supportive Environment (grades 4-8),Student,33
