School_Key,School,Region,School Level,5essentials_overall_score_2024,5essentials_overall_score_2025,5essentials_overall_score_2026,Environment_2024,Environment_2025,Environment_2026,Families_2024,Families_2025,Families_2026,Instruction_2024,Instruction_2025,Instruction_2026,Leaders_2024,Leaders_2025,Leaders_2026,Parent_Response_Rate_2024,Parent_Response_Rate_2025,Parent_Response_Rate_2026,Student_Response_Rate_2024,Student_Response_Rate_2025,Student_Response_Rate_2026,Teacher_Response_Rate_2024,Teacher_Response_Rate_2025,Teacher_Response_Rate_2026,Teachers_2024,Teachers_2025,Teachers_2026,Leaders_Growth_2024_to_2026,Leaders_Growth_2025_to_2026,Teachers_Growth_2024_to_2026,Teachers_Growth_2025_to_2026,Families_Growth_2024_to_2026,Families_Growth_2025_to_2026,Environment_Growth_2024_to_2026,Environment_Growth_2025_to_2026,Instruction_Growth_2024_to_2026,Instruction_Growth_2025_to_2026,5essentials_overall_score_Growth_2024_to_2026,5essentials_overall_score_Growth_2025_to_2026,Student_Response_Rate_Growth_2024_to_2026,Student_Response_Rate_Growth_2025_to_2026,Teacher_Response_Rate_Growth_2024_to_2026,Teacher_Response_Rate_Growth_2025_to_2026,Parent_Response_Rate_Growth_2024_to_2026,Parent_Response_Rate_Growth_2025_to_2026,Overall_Growth_Rank
GATEWAY SCIENCE ACADEMY SOUTH,Gateway Science Academy - South,MO,8,1,2,1,34,39,35,32,43,34,33,40,38,27,41,34,21.6,30.9,19.8,91.5,99.9,93.5,86.4,92.3,60.9,12,29,28,7,-7,16,-1,2,-9,1,-4,5,-2,0,-1,2,-6.4,-25.5,-31.4,-1.8,-11.1,8
NOBLE ACADEMY COLUMBUS,Noble Academy Columbus,Columbus,1,3,1,3,44,50,50,40,36,43,52,55,50,48,35,47,14.6,27.6,11.7,95,99.9,99.9,97.2,99.9,88.5,45,25,45,-1,12,0,20,3,7,6,0,-2,-5,0,2,4.9,0,-8.7,-11.4,-2.9,-15.9,8
HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,Horizon Science Academy - Columbus Middle,Columbus,9,2,1,1,13,23,37,50,37,53,34,49,44,59,47,39,9.3,9.8,12.1,91.7,98.2,91.6,90.9,74.4,76.2,48,30,35,-20,-8,-13,5,3,16,24,14,10,-5,-1,0,-0.1,-6.6,-14.7,1.8,2.8,2.3,18
HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,Horizon Science Academy - Columbus Primary,Columbus,8,2,2,1,,,,37,30,29,,,,51,47,38,12.1,4.9,12.9,0,0,0,75.6,91.1,93,29,28,33,-13,-9,4,5,-8,-1,,,,,-1,-1,0,0,17.4,1.9,0.8,8,18
HORIZON SCIENCE ACADEMY CLEVELAND ELEMENTARY,Horizon Science Academy - Cleveland Elementary,NO,1,,,2,,,14,,,,,,28,,,,,,5.4,,,77.9,,,37.9,,,,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,Horizon Science Academy - Cleveland Middle,Unassigned,1,2,1,,35,24,,27,25,,45,36,,49,48,,13.1,14.2,,56.6,78.2,,81,66.7,,43,38,,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY COLUMBUS HIGH,Horizon Science Academy - Columbus High,Unassigned,2,4,2,,62,54,,39,38,,65,51,,49,40,,15.4,12.3,,92,96.8,,96.2,98.2,,54,41,,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,Horizon Science Academy - Columbus High Morse,Columbus,2,,,4,,,49,,,45,,,51,,,60,,,20.6,,,99.7,,,94.4,,,52,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY COLUMBUS HIGH WESTERVILLE,Horizon Science Academy - Columbus High Westerville,Columbus,2,,,4,,,67,,,42,,,63,,,51,,,11.4,,,97.2,,,91.7,,,47,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY DAVENPORT,Horizon Science Academy - Davenport,IA,1,,,1,,,,,,39,,,,,,36,,,25,,,47.4,,,85.7,,,29,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY DENISON MIDDLE,Horizon Science Academy - Denison Middle,Unassigned,1,1,2,,33,32,,33,29,,39,41,,49,54,,43.4,2.3,,90.6,77,,85.7,51.6,,43,40,,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY LORAIN,Horizon Science Academy - Lorain,Unassigned,1,1,1,,21,28,,12,29,,19,30,,25,39,,12.6,8.3,,53.3,85.9,,75,72.7,,23,32,,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY SPRINGFIELD,Horizon Science Academy - Springfield,Unassigned,1,1,1,,27,20,,19,6,,35,31,,47,43,,8.4,2.9,,91.2,84.9,,86.7,72.4,,51,43,,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY TOLEDO,Horizon Science Academy - Toledo,Unassigned,1,1,1,,15,25,,30,43,,18,24,,55,48,,17,13.5,,69.5,51.4,,65.2,70.6,,43,35,,,,,,,,,,,,,,,,,,,,
HORIZON SCIENCE ACADEMY YOUNGSTOWN,Horizon Science Academy - Youngstown,Unassigned,1,1,1,,29,18,,24,25,,44,41,,34,45,,10.4,5,,83.9,87.4,,86.5,79.1,,34,34,,,,,,,,,,,,,,,,,,,,
MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,Michigan Math and Science Academy - Lorraine,MI,1,3,2,,67,57,,41,55,,43,53,,48,40,,16.7,19.8,,96.7,94.3,,71.4,66.7,,37,35,,,,,,,,,,,,,,,,,,,,
MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,Michigan Math and Science Academy - Lorraine,MI,8,,,2,,,33,,,41,,,46,,,56,,,37,,,95.2,,,72.2,,,46,,,,,,,,,,,,,,,,,,,
NOBLE ACADEMY CLEVELAND,Noble Academy Cleveland,Unassigned,1,1,1,,13,24,,32,24,,25,32,,29,39,,18.1,10,,65.1,80.7,,63.2,58.8,,20,32,,,,,,,,,,,,,,,,,,,,
NOBLE ACADEMY EUCLID,Noble Academy Euclid,NO,1,,,1,,,36,,,31,,,37,,,32,,,10.2,,,77.8,,,75,,,37,,,,,,,,,,,,,,,,,,,
