Year,Region,School,School_Key,School Level,Measure_Code,Measure_Name,Essential,Respondent_Type,Score
2024,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,colb,Collaborative Practices,Collaborative Teachers,Teacher,42
2024,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,colb,Collaborative Practices,Collaborative Teachers,Teacher,68
2025,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,10
2025,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,40
2025,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,colb,Collaborative Practices,Collaborative Teachers,Teacher,44
2025,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,colb,Collaborative Practices,Collaborative Teachers,Teacher,75
2025,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,1
2025,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,colb,Collaborative Practices,Collaborative Teachers,Teacher,43
2025,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,35
2025,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,22
2025,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,colb,Collaborative Practices,Collaborative Teachers,Teacher,28
2025,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,colb,Collaborative Practices,Collaborative Teachers,Teacher,25
2025,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,29
2025,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,20
2025,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,4
2025,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,colb,Collaborative Practices,Collaborative Teachers,Teacher,67
2025,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,31
2025,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,colb,Collaborative Practices,Collaborative Teachers,Teacher,33
2025,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,31
2025,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,75
2025,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,52
2025,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,3
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,36
2025,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,27
2025,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,58
2025,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,31
2025,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,70
2025,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,24
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,15
2025,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,colb,Collaborative Practices,Collaborative Teachers,Teacher,26
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,27
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,8
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,11
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,11
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2024,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,11
2024,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,27
2024,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,colr,Collective Responsibility,Collaborative Teachers,Teacher,50
2024,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,28
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2024,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,colr,Collective Responsibility,Collaborative Teachers,Teacher,49
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,colr,Collective Responsibility,Collaborative Teachers,Teacher,44
2024,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,19
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,15
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,colr,Collective Responsibility,Collaborative Teachers,Teacher,40
2024,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,34
2024,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,10
2024,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,33
2024,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,31
2024,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,23
2024,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,36
2024,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,colr,Collective Responsibility,Collaborative Teachers,Teacher,32
2024,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,colr,Collective Responsibility,Collaborative Teachers,Teacher,29
2024,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,2
2025,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,22
2025,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2025,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,colr,Collective Responsibility,Collaborative Teachers,Teacher,49
2025,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,colr,Collective Responsibility,Collaborative Teachers,Teacher,53
2025,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2025,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,colr,Collective Responsibility,Collaborative Teachers,Teacher,45
2025,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,13
2025,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2025,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,colr,Collective Responsibility,Collaborative Teachers,Teacher,41
2025,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,colr,Collective Responsibility,Collaborative Teachers,Teacher,14
2025,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,19
2025,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2025,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,16
2025,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,colr,Collective Responsibility,Collaborative Teachers,Teacher,67
2025,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,23
2025,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,colr,Collective Responsibility,Collaborative Teachers,Teacher,1
2025,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,19
2025,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,30
2025,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,20
2025,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,16
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,17
2025,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,9
2025,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,33
2025,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,22
2025,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,3
2025,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,25
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,26
2025,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,colr,Collective Responsibility,Collaborative Teachers,Teacher,12
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,inf3,Teacher Influence,Effective Leaders,Teacher,21
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,inf3,Teacher Influence,Effective Leaders,Teacher,27
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,inf3,Teacher Influence,Effective Leaders,Teacher,33
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,inf3,Teacher Influence,Effective Leaders,Teacher,29
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,inf3,Teacher Influence,Effective Leaders,Teacher,44
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,inf3,Teacher Influence,Effective Leaders,Teacher,34
2024,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,inf3,Teacher Influence,Effective Leaders,Teacher,22
2024,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,inf3,Teacher Influence,Effective Leaders,Teacher,27
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,inf3,Teacher Influence,Effective Leaders,Teacher,31
2024,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,inf3,Teacher Influence,Effective Leaders,Teacher,25
2024,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,inf3,Teacher Influence,Effective Leaders,Teacher,36
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,inf3,Teacher Influence,Effective Leaders,Teacher,31
2024,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,inf3,Teacher Influence,Effective Leaders,Teacher,36
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,inf3,Teacher Influence,Effective Leaders,Teacher,50
2024,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,inf3,Teacher Influence,Effective Leaders,Teacher,37
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,inf3,Teacher Influence,Effective Leaders,Teacher,30
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,inf3,Teacher Influence,Effective Leaders,Teacher,32
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,inf3,Teacher Influence,Effective Leaders,Teacher,24
2024,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,inf3,Teacher Influence,Effective Leaders,Teacher,28
2024,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,inf3,Teacher Influence,Effective Leaders,Teacher,19
2024,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,inf3,Teacher Influence,Effective Leaders,Teacher,22
2024,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,inf3,Teacher Influence,Effective Leaders,Teacher,34
2024,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,inf3,Teacher Influence,Effective Leaders,Teacher,22
2024,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,inf3,Teacher Influence,Effective Leaders,Teacher,17
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,inf3,Teacher Influence,Effective Leaders,Teacher,37
2024,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,inf3,Teacher Influence,Effective Leaders,Teacher,28
2024,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,inf3,Teacher Influence,Effective Leaders,Teacher,46
2025,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,inf3,Teacher Influence,Effective Leaders,Teacher,35
2025,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,inf3,Teacher Influence,Effective Leaders,Teacher,42
2025,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,inf3,Teacher Influence,Effective Leaders,Teacher,33
2025,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,inf3,Teacher Influence,Effective Leaders,Teacher,54
2025,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,inf3,Teacher Influence,Effective Leaders,Teacher,18
2025,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,inf3,Teacher Influence,Effective Leaders,Teacher,33
2025,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,inf3,Teacher Influence,Effective Leaders,Teacher,35
2025,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,inf3,Teacher Influence,Effective Leaders,Teacher,28
2025,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,inf3,Teacher Influence,Effective Leaders,Teacher,29
2025,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,inf3,Teacher Influence,Effective Leaders,Teacher,50
2025,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,inf3,Teacher Influence,Effective Leaders,Teacher,32
2025,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,inf3,Teacher Influence,Effective Leaders,Teacher,29
2025,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,inf3,Teacher Influence,Effective Leaders,Teacher,38
2025,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,inf3,Teacher Influence,Effective Leaders,Teacher,21
2025,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,inf3,Teacher Influence,Effective Leaders,Teacher,32
2025,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,inf3,Teacher Influence,Effective Leaders,Teacher,30
2025,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,inf3,Teacher Influence,Effective Leaders,Teacher,24
2025,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,inf3,Teacher Influence,Effective Leaders,Teacher,35
2025,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,inf3,Teacher Influence,Effective Leaders,Teacher,18
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,inf3,Teacher Influence,Effective Leaders,Teacher,23
2025,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,inf3,Teacher Influence,Effective Leaders,Teacher,24
2025,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,inf3,Teacher Influence,Effective Leaders,Teacher,30
2025,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,inf3,Teacher Influence,Effective Leaders,Teacher,34
2025,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,inf3,Teacher Influence,Effective Leaders,Teacher,31
2025,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,inf3,Teacher Influence,Effective Leaders,Teacher,30
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,inf3,Teacher Influence,Effective Leaders,Teacher,29
2025,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,inf3,Teacher Influence,Effective Leaders,Teacher,29
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,innv,Innovation,Supplemental,Teacher,1
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,innv,Innovation,Supplemental,Teacher,8
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,innv,Innovation,Supplemental,Teacher,4
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,innv,Innovation,Supplemental,Teacher,3
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,innv,Innovation,Supplemental,Teacher,23
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,innv,Innovation,Supplemental,Teacher,1
2024,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,innv,Innovation,Supplemental,Teacher,12
