Year,Region,School,School_Key,School Level,Metric,Score
2024,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,Leaders,45
2024,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,Leaders,59
2024,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,Leaders,49
2024,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,Leaders,49
2024,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,Leaders,49
2024,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,Leaders,25
2024,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,Leaders,47
2024,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,Leaders,55
2024,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,Leaders,34
2024,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,Leaders,29
2025,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Leaders,24
2025,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Leaders,47
2025,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,Leaders,47
2025,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,Leaders,35
2025,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,Leaders,19
2025,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,Leaders,34
2025,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,Leaders,44
2025,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,Leaders,58
2025,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,Leaders,40
2025,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,Leaders,35
2025,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,Leaders,44
2025,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,Leaders,46
2025,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,Leaders,40
2025,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,Leaders,34
2025,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,Leaders,42
2025,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,Leaders,41
2025,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,Leaders,41
2025,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,Leaders,46
2025,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,Leaders,66
2025,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,Leaders,76
2025,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,Leaders,48
2025,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,Leaders,40
2025,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,Leaders,54
2025,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,Leaders,39
2025,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,Leaders,43
2025,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,Leaders,48
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,Leaders,45
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,Leaders,39
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Leaders,42
2026,Columbus,Horizon Science Academy - Columbus High Morse,HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,2,Leaders,60
2026,Columbus,Horizon Science Academy - Columbus High Westerville,HORIZON SCIENCE ACADEMY COLUMBUS HIGH WESTERVILLE,2,Leaders,51
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Leaders,39
2026,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,Leaders,38
2026,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,Leaders,47
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,Leaders,29
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,Leaders,30
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,Leaders,47
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,Leaders,57
2026,IA,Horizon Science Academy - Davenport,HORIZON SCIENCE ACADEMY DAVENPORT,1,Leaders,36
2026,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,Leaders,40
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,Leaders,40
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,Leaders,52
2026,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,Leaders,52
2026,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,8,Leaders,56
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,Leaders,54
2026,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,Leaders,46
2026,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,Leaders,37
2026,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,Leaders,34
2026,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,Leaders,46
2026,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,Leaders,47
2026,NO,Horizon Science Academy - Cleveland Elementary,HORIZON SCIENCE ACADEMY CLEVELAND ELEMENTARY,1,Leaders,
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,Leaders,59
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,1,Leaders,32
2026,,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,1,Leaders,56
2026,,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,Leaders,40
2026,,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,1,Leaders,
2026,,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,Leaders,39
2026,,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,Leaders,56
2026,,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,1,Leaders,59
2026,,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,Leaders,50
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Teachers,17
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Teachers,48
2024,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,Teachers,29
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,Teachers,45
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,Teachers,40
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,Teachers,14
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,Teachers,22
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,Teachers,46
2024,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,Teachers,5
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,Teachers,14
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,Teachers,37
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,Teachers,24
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,Teachers,37
2024,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,Teachers,26
2024,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,Teachers,12
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,Teachers,34
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,Teachers,12
2024,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,Teachers,45
2024,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,Teachers,47
2024,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,Teachers,53
2024,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,Teachers,43
2024,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,Teachers,54
2024,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,Teachers,43
2024,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,Teachers,23
2024,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,Teachers,51
2024,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,Teachers,43
2024,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,Teachers,34
2024,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,Teachers,20
2025,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Teachers,14
2025,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Teachers,30
2025,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,Teachers,28
2025,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,Teachers,25
2025,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,Teachers,16
2025,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,Teachers,23
2025,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,Teachers,24
2025,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,Teachers,67
2025,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,Teachers,17
2025,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,Teachers,28
2025,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,Teachers,41
2025,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,Teachers,32
2025,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,Teachers,35
2025,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,Teachers,25
2025,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,Teachers,34
2025,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,Teachers,35
2025,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,Teachers,29
2025,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,Teachers,60
2025,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,Teachers,63
2025,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,Teachers,60
2025,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,Teachers,38
2025,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,Teachers,41
2025,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,Teachers,40
2025,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,Teachers,32
2025,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,Teachers,43
2025,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,Teachers,35
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,Teachers,34
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,Teachers,32
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Teachers,37
2026,Columbus,Horizon Science Academy - Columbus High Morse,HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,2,Teachers,52
2026,Columbus,Horizon Science Academy - Columbus High Westerville,HORIZON SCIENCE ACADEMY COLUMBUS HIGH WESTERVILLE,2,Teachers,47
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Teachers,35
2026,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,Teachers,33
2026,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,Teachers,45
2026,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,Teachers,24
2026,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,Teachers,23
2026,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,Teachers,27
2026,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,Teachers,62
2026,IA,Horizon Science Academy - Davenport,HORIZON SCIENCE ACADEMY DAVENPORT,1,Teachers,29
2026,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,Teachers,30
2026,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,Teachers,38
2026,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,Teachers,51
2026,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,Teachers,40
2026,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,8,Teachers,46
2026,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,Teachers,49
2026,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,Teachers,46
2026,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,Teachers,40
2026,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,Teachers,28
2026,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,Teachers,51
2026,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,Teachers,50
2026,NO,Horizon Science Academy - Cleveland Elementary,HORIZON SCIENCE ACADEMY CLEVELAND ELEMENTARY,1,Teachers,
2026,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,Teachers,45
2026,NO,Noble Academy Euclid,NOBLE ACADEMY EUCLID,1,Teachers,37
2026,,Horizon Science Academy - Denison,HORIZON SCIENCE ACADEMY DENISON,1,Teachers,45
2026,,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,Teachers,41
2026,,Horizon Science Academy - New Bedford,HORIZON SCIENCE ACADEMY NEW BEDFORD,1,Teachers,
2026,,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,Teachers,39
2026,,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,Teachers,48
2026,,Horizon Science Academy - Westerville,HORIZON SCIENCE ACADEMY WESTERVILLE,1,Teachers,53
2026,,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,Teachers,47
2024,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Families,22
2024,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Families,50
2024,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,Families,37
2024,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,Families,40
2024,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,Families,14
2024,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,Families,3
2024,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,Families,8
2024,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,Families,35
2024,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,Families,
2024,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,Families,16
2024,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,Families,38
2024,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,Families,27
2024,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,Families,41
2024,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,Families,27
2024,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,Families,28
2024,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,Families,45
2024,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,Families,32
2024,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,Families,68
2024,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,Families,39
2024,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,Families,41
2024,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,Families,27
2024,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,Families,39
2024,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,Families,33
2024,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,Families,12
2024,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,Families,19
2024,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,Families,30
2024,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,Families,24
2024,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,Families,32
2025,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Families,14
2025,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Families,37
2025,Columbus,Horizon Science Academy - Columbus Primary,HORIZON SCIENCE ACADEMY COLUMBUS PRIMARY,8,Families,30
2025,Columbus,Noble Academy Columbus,NOBLE ACADEMY COLUMBUS,1,Families,36
2025,DC,Horizon Science Academy - Cincinnati,HORIZON SCIENCE ACADEMY CINCINNATI,1,Families,6
2025,DC,Horizon Science Academy - Dayton Downtown,HORIZON SCIENCE ACADEMY DAYTON DOWNTOWN,1,Families,12
2025,DC,Horizon Science Academy - Dayton Elementary,HORIZON SCIENCE ACADEMY DAYTON ELEMENTARY,8,Families,14
2025,DC,Horizon Science Academy - Dayton High,HORIZON SCIENCE ACADEMY DAYTON HIGH,2,Families,49
2025,IA,Horizon Science Academy - Des Moines,HORIZON SCIENCE ACADEMY DES MOINES,8,Families,55
2025,IN,Indiana Math and Science Academy - North,INDIANA MATH AND SCIENCE ACADEMY NORTH,1,Families,28
2025,IN,Indiana Math and Science Academy - West,INDIANA MATH AND SCIENCE ACADEMY WEST,1,Families,44
2025,MI,Michigan Math and Science Academy - Dequindre,MICHIGAN MATH AND SCIENCE ACADEMY DEQUINDRE,1,Families,29
2025,MI,Michigan Math and Science Academy - Lorraine,MICHIGAN MATH AND SCIENCE ACADEMY LORRAINE,1,Families,55
2025,MN,Horizon Science Academy - Twin Cities,HORIZON SCIENCE ACADEMY TWIN CITIES,1,Families,33
2025,MN,Minnesota Math and Science Academy,MINNESOTA MATH AND SCIENCE ACADEMY,1,Families,38
2025,MO,Gateway Science Academy - Smiley,GATEWAY SCIENCE ACADEMY SMILEY,8,Families,41
2025,MO,Gateway Science Academy - South,GATEWAY SCIENCE ACADEMY SOUTH,8,Families,43
2025,MO,Gateway Science Academy High - Fyler,GATEWAY SCIENCE ACADEMY HIGH FYLER,2,Families,69
2025,MO,Gateway Science Academy Middle - Fyler,GATEWAY SCIENCE ACADEMY MIDDLE FYLER,9,Families,57
2025,NO,Horizon Science Academy - Cleveland High,HORIZON SCIENCE ACADEMY CLEVELAND HIGH,2,Families,49
2025,Unassigned,Horizon Science Academy - Cleveland Middle,HORIZON SCIENCE ACADEMY CLEVELAND MIDDLE,1,Families,25
2025,Unassigned,Horizon Science Academy - Columbus High,HORIZON SCIENCE ACADEMY COLUMBUS HIGH,2,Families,38
2025,Unassigned,Horizon Science Academy - Denison Middle,HORIZON SCIENCE ACADEMY DENISON MIDDLE,1,Families,29
2025,Unassigned,Horizon Science Academy - Lorain,HORIZON SCIENCE ACADEMY LORAIN,1,Families,29
2025,Unassigned,Horizon Science Academy - Springfield,HORIZON SCIENCE ACADEMY SPRINGFIELD,1,Families,6
2025,Unassigned,Horizon Science Academy - Toledo,HORIZON SCIENCE ACADEMY TOLEDO,1,Families,43
2025,Unassigned,Horizon Science Academy - Youngstown,HORIZON SCIENCE ACADEMY YOUNGSTOWN,1,Families,25
2025,Unassigned,Noble Academy Cleveland,NOBLE ACADEMY CLEVELAND,1,Families,24
2026,Columbus,Horizon Science Academy - Columbus Elementary,HORIZON SCIENCE ACADEMY COLUMBUS ELEMENTARY,8,Families,34
2026,Columbus,Horizon Science Academy - Columbus High Morse,HORIZON SCIENCE ACADEMY COLUMBUS HIGH MORSE,2,Families,45
2026,Columbus,Horizon Science Academy - Columbus High Westerville,HORIZON SCIENCE ACADEMY COLUMBUS HIGH WESTERVILLE,2,Families,42
2026,Columbus,Horizon Science Academy - Columbus Middle,HORIZON SCIENCE ACADEMY COLUMBUS MIDDLE,9,Families,53
